Product,Manufacturer,Type,Appearance,Melting Temperature (°C),Freezing/Congealing Temperature (°C),Nucleation Temperature (°C),Latent Heat - Melting (kJ/kg),Latent Heat - Freezing (kJ/kg),Heat Storage Capacity (Wh/kg),Density - Liquid (kg/m³),Density - Solid (kg/m³),Specific Heat - Liquid (kJ/kgK),Specific Heat - Solid (kJ/kgK),Thermal Conductivity - Liquid (W/mK),Thermal Conductivity - Solid (W/mK),Thermal Conductivity - Both Phases (W/mK),Volume Expansion (%),Max Operating Temperature (°C),Flammability,Flash Point (°C),Number of Cycles Tested
savE® HS36,Pluss Advanced Technologies,Inorganic,Off-White to pale yellow solid @25°C,35,36,34,163,163,,1850,1967,2.32,1.98,0.47,0.5,,,90,No,,~2000
savE® OM35,Pluss Advanced Technologies,Organic,White waxy flakes/solid @25°C,35,34,,171,202,,870,900,2.78,2.57,0.16,0.2,,,90,Yes,200,~2000
savE® OM37,Pluss Advanced Technologies,Organic,White waxy flakes @25°C,38,36,36,186,196,,860,973,2.63,2.55,0.13,0.16,,,90,No,,~2000
savE® OM39,Pluss Advanced Technologies,Organic,White flakes @25°C,39,35,,229,228,,824,850,2.4,2,0.165,0.19,,,90 (provisional),No,,Under Trial
savE® OM42,Pluss Advanced Technologies,Organic,White solid @25°C,44,43,,199,190,,863,903,2.78,2.71,0.1,0.19,,,90,Yes,200,~2000
savE® OM46,Pluss Advanced Technologies,Organic,White waxy solid @25°C,47,45,45,177,182,,880,917,2.7,2.5,0.1,0.2,,,90,No,,~2000
savE® OM48,Pluss Advanced Technologies,Organic,White waxy solid @25°C,51,48,,165,172,,875,960,2.35,2.02,0.1,0.2,,,90,Yes,200,~2000
savE® OM50,Pluss Advanced Technologies,Organic,White color waxy solid @25°C,50,50,,189,204,,859,961,2.78,3.33,0.14,0.21,,,90,Yes,200,~2000
RT35,Rubitherm Technologies,Organic (RT-line),N/A,32-38 (peak: 35),38-32 (peak: 35),,160,,45,770,860,2,,,,0.2,12.5,65,N/A,165,N/A
RT38,Rubitherm Technologies,Organic (RT-line),N/A,34-39 (peak: 38),39-34 (peak: 38),,170,,47,750,880,2,,,,0.2,~12.5,70,N/A,165,N/A
RT42,Rubitherm Technologies,Organic (RT-line),N/A,38-43 (peak: 41),43-37 (peak: 42),,165,,48,760,880,2,,,,0.2,12.5,72,N/A,186,N/A
RT44HC,Rubitherm Technologies,Organic (RT-line),N/A,41-44 (peak: 43),44-40 (peak: 43),,250,,70,700,800,2,,,,0.2,12.5,70,N/A,>180,N/A
RT45HC,Rubitherm Technologies,Organic (RT-line),N/A,45-48 (peak: 47),44-47 (peak: 45),,230,,64,~800,~900,2,,,,0.2,~12,75,N/A,155,N/A
RT47,Rubitherm Technologies,Organic (RT-line),N/A,41-48 (peak: 46),48-41 (peak: 47),,160,,46,770,880,2,,,,0.2,12,65,N/A,>180,N/A
RT50,Rubitherm Technologies,Organic (RT-line),N/A,45-51 (peak: 49),51-46 (peak: 50),,160,,46,760,880,2,,,,0.2,12.5,70,N/A,>200,N/A
RT54HC,Rubitherm Technologies,Organic (RT-line),N/A,53-54 (peak: 54),54-53 (peak: 54),,200,,56,850,990,2,,,,0.2,,85,N/A,N/A,N/A
RT55,Rubitherm Technologies,Organic (RT-line),N/A,51-57 (peak: 55),56-57 (peak: 55),,170,,48,770,880,2,,,,0.2,14,90,N/A,>200,N/A
RT64HC,Rubitherm Technologies,Organic (RT-line),N/A,63-65 (peak: 64),64-61 (peak: 64),,250,,70,~800,~900,2,,,,0.2,11,95,N/A,>190,N/A
