category,phase,output_name,file_path,source_script,pipeline_version,status,final_or_historical,rows,columns,purpose,thesis_ready,notes
Climate,Phase 1,Population Grid Points,data/processed/population_grid_points.csv,01_clean_preprocess.py,Final (K=3),ACTIVE,FINAL,129.0,5.0,129 population-weighted ERA5 coordinate points covering Assam,YES,"Base spatial framework; lat 24.375-27.875, lon 89.875-95.875"
Climate,Phase 2,Raw Climate Signatures,data/processed/climate_signatures_raw.csv,04b_climate_signature.py,Final (K=3),ACTIVE,FINAL,129.0,20.0,10-year physical climate feature signatures for all 129 grid points,YES,"Unstandardized physical units; Ta_mean, GHI_mean, DTR, RH_mean, wind_mean, etc."
Climate,Phase 2,Normalized Climate Matrix,data/processed/climate_signatures_matrix.csv,04b_climate_signature.py,Final (K=3),ACTIVE,FINAL,129.0,20.0,Standardized climate feature matrix for statistical modeling,YES,StandardScaler normalized feature space
Climate,Phase 2,PCA Loadings & Variance,data/processed/pca_loadings.csv,04b_climate_signature.py,Final (K=3),ACTIVE,FINAL,2.0,8.0,Principal component loadings for Assam climate feature space,YES,Explains variance distribution across orthogonal dimensions
Climate,Phase 3,GMM K Comparison (BIC/Metrics),data/processed/clustering/gmm_k_comparison.csv,05_cluster_assam.py,Final (K=3),ACTIVE,FINAL,9.0,6.0,Grid search comparison (K=2..10) validating K=3 optimal clustering,YES,Proves minimum BIC (1574.94) and optimal silhouette at K=3
Climate,Phase 3,GMM Bootstrap Stability,data/processed/clustering/gmm_bootstrap_stability.csv,05_cluster_assam.py,Final (K=3),ACTIVE,FINAL,1.0,8.0,Bootstrap resampling stability results (ARI) for K=3 GMM,YES,"Mean ARI = 0.6289, Median ARI = 0.6542, 38.6% runs ARI >= 0.75"
Climate,Phase 3,Final Cluster Assignments,data/processed/clustering/cluster_assignments_assam.csv,05_cluster_assam.py,Final (K=3),ACTIVE,FINAL,129.0,6.0,K=3 GMM cluster membership assignments and posterior probabilities,YES,"Cluster 0: 33 pts (25.6%), Cluster 1: 61 pts (47.3%), Cluster 2: 35 pts (27.1%)"
Climate,Phase 3,Final Cluster Profiles,data/processed/clustering/cluster_profiles_assam.csv,05_cluster_assam.py,Final (K=3),ACTIVE,FINAL,3.0,13.0,Aggregated mean climate characteristics for the 3 Assam climate regimes,YES,"Key climate medoids: Cluster 0=ASP_0012, Cluster 1=ASP_0092, Cluster 2=ASP_0028"
PCM,Phase 5,Verified PCM Database Final,data/processed/pcm/pcm_database_final.csv,06_build_pcm_database_final.py,Final (K=3),ACTIVE,FINAL,58.0,41.0,"Cleaned, deduplicated database of 58 PCM records with strict provenance",YES,Strict status tracking: Reported | Imputed | Missing. No single-phase fallback.
PCM,Phase 5,Historical PCM Database,data/processed/pcm/pcm_database_assam.csv,06_build_pcm_database.py,Historical (K=4),PRESERVED,HISTORICAL,25.0,23.0,Historical 25-record PCM database from earlier pipeline version,NO,Historical artifact; superseded by pcm_database_final.csv
